MAP_maxsim,MAP_meanmaxsim_symmetrised,MAP_symmetrised_raw,R@10_maxsim,R@10_meanmaxsim_symmetrised,R@10_symmetrised_raw,R@1_maxsim,R@1_meanmaxsim_symmetrised,R@1_symmetrised_raw,arm,n_eligible_maxsim,n_eligible_meanmaxsim_symmetrised,n_eligible_symmetrised_raw
0.5453935892541175,0.4677160158197975,0.025094238990530596,0.8044890726520969,0.7595983461311282,0.039574719432959246,0.6012994683992912,0.564087418783225,0.017129356172474897,esm2_zeroshot,1693,1693,1693
0.6980253372823185,0.4230980254593443,0.01258054449260647,0.9421145894861194,0.6645008860011813,0.02008269344359126,0.74187832250443,0.4985233313644418,0.004134672179562906,esm2_late,1693,1693,1693
0.6840969944467775,0.6869076360587422,0.31379947072048553,0.9320732427643237,0.932663910218547,0.49793266391021856,0.7259303012404017,0.7253396337861784,0.27170702894270526,protsent_v2_zeroshot,1693,1693,1693
0.6804503932918535,0.5531417327136983,0.015368627739894499,0.9356172474896634,0.8275251033668045,0.01772002362669817,0.7188422917897224,0.6237448316597756,0.009450679267572357,protsent_late,1693,1693,1693
